Name,Description,Type,Photograph,With Stylized Photography,On Website,PD PO Link,Date Created,Design Approval Status,Design Approval Date,Date Sent to Photography,Anticipated Launch Date,PD Pricing Complete,Photo Notes,Notes for Copy,Preferred Vendor,Earliest PO/WO Date,Product Roadmap Planned Launch,eCommerce Notes,Launch Notes,Date Photo Completed,Inventory Available,How Produced,Center Stones Available
BE1D0909,2 size alternating strands ER,Inventory Item,,No,Not on website,Purchase Order #901571,4/18/2022 13:18,Finished Item Approved,7/28/2022,,,No,,,SDC Designs,,,,,,,-Center gem to be set in 4 bead prong style basket  -Shank to feature side by side scalloped pave' set accent  -1/2 coverage  -low dome comfort fit plain shank shape,"Asscher,Cushion,Emerald,Heart,Marquise,Oval,Pear,Princess,Radiant,Round"
BE1D0909LC,2 size alternating strands ER,Inventory Item,To Be Photographed,No,Not on website,Purchase Order #901571,4/18/2022 13:18,Finished Item Approved,7/28/2022,,,No,,,SDC Designs,,,,,,,-SET WITH LAB MELEE  -Center gem to be set in 4 bead prong style basket  -Shank to feature side by side scalloped pave' set accent  -1/2 coverage  -low dome comfort fit plain shank shape,"Asscher,Cushion,Emerald,Heart,Marquise,Oval,Pear,Princess,Radiant,Round"
BE1D1349,PTV Willow ER,Inventory Item,With Retoucher,No,Not on website,Purchase Order #870055,3/4/2022 11:14,Finished Item Approved,7/6/2022,7/19/2022,8/19/2022,Yes,,,SDC Designs,,,,,,,-melee provided by vendor  -Same as Luxe willow with only one accented strand -4 Bead prong trellis-style head -split shank with staggered Mq accents and one shared prong set shank Low some comfort fit sizing bar -1/2 shank coverage,"Asscher,Cushion,Emerald,Heart,Marquise,Oval,Pear,Princess,Radiant,Round"
BE1D1349LC,PTV Willow ER,Inventory Item,To Be Photographed,No,Not on website,Purchase Order #870055,3/4/2022 11:14,Finished Item Approved,7/6/2022,,,No,,,SDC Designs,,,,,,,-LAB melee provided by vendor  -Same as Luxe willow with only one accented strand -4 Bead prong trellis-style head -split shank with staggered Mq accents and one shared prong set shank Low some comfort fit sizing bar -1/2 shank coverage,"Asscher,Cushion,Emerald,Heart,Marquise,Oval,Pear,Princess,Radiant,Round"
BE1D1964,East west tapered baguette ER,Inventory Item,With Retoucher,No,Not on website,Purchase Order #894696,4/8/2022 13:08,Finished Item Approved,7/6/2022,7/19/2022,8/19/2022,Yes,,,SDC Designs,,,,,,,MELEE PROVIDED BY SDC  MELEE SKU IS FOR A PAIR   - same as BE503TB230 with an east west center stone.   -Center gem to be set in 4 bead prongs in a basket style setting  -Side accents to be bar set  -Shank to be reverse taper and low dome comfort fit in shape  - https://www.brilliantearth.com/Tapered-Baguette-Diamond-Ring-Gold-BE503TB230-1151719/,"Cushion,Emerald,Marquise,Oval,Radiant"
BE1D1964LC,East west tapered baguette LAB ER,Inventory Item,To Be Photographed,No,Not on website,Purchase Order #894696,4/8/2022 13:08,Finished Item Approved,7/6/2022,,,No,,,SDC Designs,,,,,,,LAB MELEE PROVIDED BY SDC  MELEE SKU IS FOR A PAIR   - same as BE503TB230 with an east west center stone.   -Center gem to be set in 4 bead prongs in a basket style setting  -Side accents to be bar set  -Shank to be reverse taper and low dome comfort fit in shape  - https://www.brilliantearth.com/Tapered-Baguette-Diamond-Ring-Gold-BE503TB230-1151719/,"Cushion,Emerald,Marquise,Oval,Radiant"
BE1D2145,Laurel ER,Inventory Item,With Retoucher,No,Not on website,Purchase Order #873776,3/9/2022 11:04,Finished Item Approved,6/28/2022,7/1/2022,7/29/2022,Yes,,,SDC Designs,,,,,,,"Same shank as BE2D80F3 with same head from BE1D80F3  - four claw prong head with fern engraving, exact same from BE1D80F3 - https://www.brilliantearth.com/Laurel-Ring-Gold-BE1D80F3-11606974/  - same shank as BE2D80F3 - https://www.brilliantearth.com/Laurel-Diamond-Ring-Rose-Gold-BE2D80F3/ - alternating areas of diamonds and fern engravings - (2) areas of 3 scallop pave diamonds - 4 areas of fern engraving. Left two fern pattern to go towards the middle and right two fern pattern to go towards the middle -1/2 coverage","Asscher,Cushion,Emerald,Oval,Princess,Radiant,Round"
BE1D2145LC,Laurel ER,Inventory Item,To Be Photographed,No,Not on website,Purchase Order #873776,3/9/2022 11:04,Finished Item Approved,6/28/2022,,,No,,,SDC Designs,,,,,,,"lab melee provided by the vendor  Same shank as BE2D80F3 with same head from BE1D80F3  - four claw prong head with fern engraving, exact same from BE1D80F3 - https://www.brilliantearth.com/Laurel-Ring-Gold-BE1D80F3-11606974/  - same shank as BE2D80F3 - https://www.brilliantearth.com/Laurel-Diamond-Ring-Rose-Gold-BE2D80F3/ - alternating areas of diamonds and fern engravings - (2) areas of 3 scallop pave diamonds - 4 areas of fern engraving. Left two fern pattern to go towards the middle and right two fern pattern to go towards the middle -1/2 coverage","Asscher,Cushion,Emerald,Oval,Princess,Radiant,Round"
BE1D6134,Staggered Baguette ER,Inventory Item,With Retoucher,No,Not on website,Purchase Order #821228,12/15/2021 13:27,Finished Item Approved,6/23/2022,7/1/2022,7/29/2022,No,,,Guild and Facet,,,,,,,MELEE PROVIDED BY BE FOR INITIAL SAMPLES  - 4 bead prong basket set center stone - Accent stones step down in height from center - 2 baguettes bar set vertically NS of each other on both sides next to center - 1 baguette NS bar set on both sides - 1 princess cut NS bar set next to baguettes - 1.5 mm comfort fit shank,"Asscher,Cushion,Emerald,Marquise,Oval,Pear,Princess,Radiant,Round"
BE1D6197,Feather ER,Inventory Item,,No,Not on website,Purchase Order #877613,3/15/2022 7:40,Finished Item Approved,7/26/2022,,,Yes,,,SDC Designs,,,,,,,"MELEE PROVIDED BY THE VENDOR  -Center gem to be set in 4 Claw prong basket with soft ""V"" shaped gallery wire -Shank to feature 2 prong set gems cascading down the shank (please see sketch 1 for placement) -Plain shank to be low dome comfort fit","Asscher,Cushion,Emerald,Marquise,Oval,Pear,Princess,Radiant,Round"
